"Downloaded on",04/07/2021,"10:52:09 EDT"
"Search URL",https://www.congress.gov/search?pageSort=numberDesc&q=%7B%22source%22%3A%22comreports%22%2C%22congress%22%3A%22115%22%7D

"Report Number",URL,Congress,Accompanies,Title,Committee
"H. Rept. 115-1130",https://www.congress.gov/congressional-report/115th-congress/house-report/1130/1,"115th Congress (2017-2018)",,"SURVEY OF ACTIVITIES OF THE HOUSE COMMITTEE ON RULES FOR THE 115TH CONGRESS","House Rules"
"H. Rept. 115-1129",https://www.congress.gov/congressional-report/115th-congress/house-report/1129/1,"115th Congress (2017-2018)","S. 141","SPACE WEATHER COORDINATION ACT","House Science, Space, and Technology"
"H. Rept. 115-1128",https://www.congress.gov/congressional-report/115th-congress/house-report/1128/1,"115th Congress (2017-2018)",,"REPORT ON THE ACTIVITIES of the COMMITTEE ON NATURAL RESOURCES during the ONE HUNDRED FIFTEENTH CONGRESS First Session January 3, 2017-January 3, 2018 Second Session January 3, 2018-January 3, 2019 together with DISSENTING VIEWS","House Natural Resources"
"H. Rept. 115-1127",https://www.congress.gov/congressional-report/115th-congress/house-report/1127/1,"115th Congress (2017-2018)",,"LEGISLATIVE AND OVERSIGHT ACTIVITIES of the COMMITTEE ON HOMELAND SECURITY 115TH CONGRESS together with ADDITIONAL VIEWS (Pursuant to House Rule XI, 1(d))","House Homeland Security"
"H. Rept. 115-1126",https://www.congress.gov/congressional-report/115th-congress/house-report/1126/1,"115th Congress (2017-2018)",,"ACTIVITY REPORT of the COMMITTEE ON ENERGY AND COMMERCE of the HOUSE OF REPRESENTATIVES for the ONE HUNDRED FIFTEENTH CONGRESS","House Energy and Commerce"
"H. Rept. 115-1125",https://www.congress.gov/congressional-report/115th-congress/house-report/1125/1,"115th Congress (2017-2018)",,"SUMMARY OF ACTIVITIES ONE HUNDRED FIFTEENTH CONGRESS","House Ethics"
"H. Rept. 115-1124",https://www.congress.gov/congressional-report/115th-congress/house-report/1124/1,"115th Congress (2017-2018)",,"ACTIVITIES AND SUMMARY REPORT of the COMMITTEE ON THE BUDGET HOUSE OF REPRESENTATIVES One Hundred Fifteenth Congress (Pursuant to House Rule XI, Cl. 1.(d)) together with MINORITY VIEWS","House Budget"
"H. Rept. 115-1123",https://www.congress.gov/congressional-report/115th-congress/house-report/1123/1,"115th Congress (2017-2018)",,"REPORT ON THE ACTIVITIES of the COMMITTEE ON EDUCATION AND THE WORKFORCE for the 115TH CONGRESS together with MINORITY VIEWS","House Education and the Workforce"
"H. Rept. 115-1122",https://www.congress.gov/congressional-report/115th-congress/house-report/1122/1,"115th Congress (2017-2018)",,"REPORT ON THE ACTIVITY of the COMMITTEE ON FINANCIAL SERVICES of the UNITED STATES HOUSE OF REPRESENTATIVES for the ONE HUNDRED FIFTEENTH CONGRESS","House Financial Services"
"H. Rept. 115-1121",https://www.congress.gov/congressional-report/115th-congress/house-report/1121/1,"115th Congress (2017-2018)",,"COMMITTEE ON APPROPRIATIONS HOUSE OF REPRESENTATIVES A N N U A L","House Appropriations"
"H. Rept. 115-1120",https://www.congress.gov/congressional-report/115th-congress/house-report/1120/1,"115th Congress (2017-2018)",,"REPORT OF THE ACTIVITIES of the COMMITTEE ON VETERANS' AFFAIRS of the HOUSE OF REPRESENTATIVES during the ONE HUNDRED FIFTEENTH CONGRESS pursuant to Clause 1(d) Rule XI of the Rules of the House of Representatives","House Veterans' Affairs"
"H. Rept. 115-1119",https://www.congress.gov/congressional-report/115th-congress/house-report/1119/1,"115th Congress (2017-2018)","H.R. 4247","RESTORING FINANCIAL MARKET FREEDOM ACT OF 2017","House Financial Services"
"H. Rept. 115-1118",https://www.congress.gov/congressional-report/115th-congress/house-report/1118/1,"115th Congress (2017-2018)","H.R. 2128","DUE PROCESS RESTORATION ACT OF 2017","House Financial Services"
"H. Rept. 115-1117",https://www.congress.gov/congressional-report/115th-congress/house-report/1117/1,"115th Congress (2017-2018)","H.R. 4278","INDEPENDENCE FROM CREDIT POLICY ACT OF 2017","House Financial Services"
"H. Rept. 115-1116",https://www.congress.gov/congressional-report/115th-congress/house-report/1116/1,"115th Congress (2017-2018)","H.R. 6741","FEDERAL RESERVE REFORM ACT OF 2018","House Financial Services"
"H. Rept. 115-1115",https://www.congress.gov/congressional-report/115th-congress/house-report/1115/1,"115th Congress (2017-2018)",,"REPORT ON THE LEGISLATIVE AND OVERSIGHT ACTIVITIES of the COMMITTEE ON WAYS AND MEANS during the 115TH CONGRESS","House Ways and Means"
"H. Rept. 115-1114",https://www.congress.gov/congressional-report/115th-congress/house-report/1114/1,"115th Congress (2017-2018)",,"ACTIVITIES of the HOUSE COMMITTEE ON OVERSIGHT AND GOVERNMENT REFORM ONE HUNDRED FIFTEENTH CONGRESS JANUARY 2, 2019 (Pursuant to House Rule XI, 1(d)(1))","House Oversight and Government Reform"
"H. Rept. 115-1113",https://www.congress.gov/congressional-report/115th-congress/house-report/1113/1,"115th Congress (2017-2018)",,"LEGISLATIVE REVIEW AND OVERSIGHT ACTIVITIES OF THE COMMITTEE ON FOREIGN AFFAIRS","House Foreign Affairs"
"H. Rept. 115-1112",https://www.congress.gov/congressional-report/115th-congress/house-report/1112/1,"115th Congress (2017-2018)",,"ACTIVITY REPORT of the COMMITTEE ON THE JUDICIARY of the UNITED STATES HOUSE OF REPRESENTATIVES for the period JANUARY 3, 2017 THROUGH DECEMBER 18, 2018","House Judiciary"
"H. Rept. 115-1111",https://www.congress.gov/congressional-report/115th-congress/house-report/1111/1,"115th Congress (2017-2018)",,"REPORT ON THE ACTIVITY of the HOUSE PERMANENT SELECT COMMITTEE ON INTELLIGENCE for the ONE HUNDRED AND FIFTEENTH CONGRESS","House Intelligence (Permanent Select)"
