"Downloaded on",04/07/2021,"10:50:53 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22comreports%22%2C%22congress%22%3A%22116%22%7D&pageSort=numberAsc

"Report Number",URL,Congress,Accompanies,Title,Committee
"H. Rept. 116-1",https://www.congress.gov/congressional-report/116th-congress/house-report/1/1,"116th Congress (2019-2020)","H.Res. 28","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 264) MAKING APPROPRIATIONS FOR FINANCIAL SERVICES AND GENERAL GOVERNMENT FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2019, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 265) MAKING APPROPRIATIONS FOR AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES PROGRAMS FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2019, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 266) MAKING APPROPRIATIONS FOR THE DEPARTMENT OF THE INTERIOR, ENVIRONMENT, AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2019, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 267) MAKING APPROPRIATIONS FOR THE DEPARTMENT OF TRANSPORTATION, AND HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2019, AND FOROTHER PURPOSES; AND WAIVING A REQUIREMENT OF CLAUSE 6(A) OF RULE XIII WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM THE COMMITTEE ON RULES","House Rules"
"H. Rept. 116-2",https://www.congress.gov/congressional-report/116th-congress/house-report/2/1,"116th Congress (2019-2020)","H.Res. 43","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 268) MAKING SUPPLEMENTAL APPROPRIATIONS FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2019, AND FOR OTHER PURPOSES, AND WAIVING A REQUIREMENT OF CLAUSE 6(a) OF RULE XIII WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM THE COMMITTEE ON RULES","House Rules"
"H. Rept. 116-3",https://www.congress.gov/congressional-report/116th-congress/house-report/3/1,"116th Congress (2019-2020)","H.Res. 52","PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (H.J. RES. 28) MAKING FURTHER CONTINUING APPROPRIATIONS FOR FISCAL YEAR 2019, AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES","House Rules"
"H. Rept. 116-4",https://www.congress.gov/congressional-report/116th-congress/house-report/4/1,"116th Congress (2019-2020)","H.Res. 61","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 648) MAKING APPROPRIATIONS FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2019, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (H.J. RES. 31) MAKING FURTHER CONTINUING APPROPRIATIONS FOR THE DEPARTMENT OF HOMELAND SECURITY FOR FISCAL YEAR 2019, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES; AND WAIVING A REQUIREMENT OF CLAUSE 6(A) OF RULE XIII WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM THE COMMITTEE ON RULES","House Rules"
"H. Rept. 116-5",https://www.congress.gov/congressional-report/116th-congress/house-report/5/1,"116th Congress (2019-2020)","H.Res. 87","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 790) TO PROVIDE FOR A PAY INCREASE IN 2019 FOR CERTAIN CIVILIAN EMPLOYEES OF THE FEDERAL GOVERNMENT, AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES","House Rules"
"H. Rept. 116-6",https://www.congress.gov/congressional-report/116th-congress/house-report/6/1,"116th Congress (2019-2020)","H.Res. 105","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 840) TO AMEND TITLE 38, UNITED STATES CODE, TO DIRECT THE SECRETARY OF VETERANS AFFAIRS TO PROVIDE CHILD CARE ASSISTANCE TO VETERANS RECEIVING CERTAIN MEDICAL SERVICES PROVIDED BY THE DEPARTMENT OF VETERANS AFFAIRS; PROVIDING FOR THE ADOPTION OF THE RESOLUTION (H. RES. 86) PROVIDING AMOUNTS FOR THE EXPENSES OF THE SELECT COMMITTEE ON THE CLIMATE CRISIS AND THE SELECT COMMITTEE ON THE MODERNIZATION OF CONGRESS; AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES.","House Rules"
"H. Rept. 116-7",https://www.congress.gov/congressional-report/116th-congress/house-report/7/1,"116th Congress (2019-2020)","H.J.Res. 37","DIRECTING THE REMOVAL OF UNITED STATES ARMED FORCES FROM HOSTILITIES IN THE REPUBLIC OF YEMEN THAT HAVE NOT BEEN AUTHORIZED BY CONGRESS","House Foreign Affairs"
"H. Rept. 116-8",https://www.congress.gov/congressional-report/116th-congress/house-report/8/1,"116th Congress (2019-2020)","H.Res. 122","PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (H.J. RES. 37) DIRECTING THE REMOVAL OF UNITED STATES ARMED FORCES FROM HOSTILITIES IN THE REPUBLIC OF YEMEN THAT HAVE NOT BEEN AUTHORIZED BY CONGRESS; WAIVING A REQUIREMENT OF CLAUSE 6(A) OF RULE XIII WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM THE COMMITTEE ON RULES; AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES","House Rules"
"H. Rept. 116-9",https://www.congress.gov/congressional-report/116th-congress/house-report/9/1,"116th Congress (2019-2020)","H.J.Res. 31","MAKING FURTHER CONTINUING APPROPRIATIONS FOR THE DEPARTMENT OF HOMELAND SECURITY FOR FISCAL YEAR 2019, AND FOR OTHER PURPOSES",
"H. Rept. 116-10",https://www.congress.gov/congressional-report/116th-congress/house-report/10/1,"116th Congress (2019-2020)","H.Res. 131","PROVIDING FOR CONSIDERATION OF THE CONFERENCE REPORT TO ACCOMPANY THE JOINT RESOLUTION (H.J. RES. 31) MAKING FURTHER CONTINUING APPROPRIATIONS FOR THE DEPARTMENT OF HOMELAND SECURITY FOR FISCAL YEAR 2019, AND FOR OTHER PURPOSES, AND PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM FEBRUARY 15, 2019, THROUGH FEBRUARY 22, 2019","House Rules"
